work_id,work_type,year,n_amendment_operations,n_history_witnesses,operation_families,latest_version_id
act_public_1983_143,act_public,2025,38,38,__missing__:2;amended:12;inserted:13;repealed:4;replaced:3;substituted:4,act_public_1983_143_en_2025-11-27
act_public_1983_146,act_public,1993,5,5,repealed:5,act_public_1983_146_en_1993-07-01
act_public_1983_148,act_public,1990,1,1,repealed:1,act_public_1983_148_en_1990-07-19
act_public_1983_153,act_public,2017,14,14,amended:9;repealed:4;substituted:1,act_public_1983_153_en_2017-06-03
act_public_1983_29,act_public,2008,1,1,repealed:1,act_public_1983_29_en_2008-01-01
act_public_1983_3,act_public,2007,1,1,repealed:1,act_public_1983_3_en_2007-09-03
act_public_1983_42,act_public,2023,43,43,amended:24;brought into force:1;inserted:10;repealed:5;replaced:2;substituted:1,act_public_1983_42_en_2023-12-23
act_public_1983_44,act_public,2026,659,659,__unclassified__:1;added:5;amended:154;inserted:316;repealed:43;replaced:128;substituted:12,act_public_1983_44_en_2026-01-01
act_public_1983_51,act_public,2012,1,1,repealed:1,act_public_1983_51_en_2012-03-07
act_public_1983_57,act_public,2020,12,12,repealed:12,act_public_1983_57_en_2020-08-01
act_public_1983_58,act_public,2014,1,1,repealed:1,act_public_1983_58_en_2014-12-07
act_public_1983_59,act_public,2017,8,8,repealed:8,act_public_1983_59_en_2017-06-03
act_public_1984_5,act_public,2012,3,3,repealed:3,act_public_1984_5_en_2012-08-01
act_public_1985_112,act_public,2018,1,1,repealed:1,act_public_1985_112_en_2018-01-01
act_public_1985_117,act_public,2008,6,6,inserted:3;repealed:1;substituted:2,act_public_1985_117_en_2008-01-01
act_public_1985_120,act_public,2013,300,300,amended:30;expired:1;inserted:14;repealed:249;substituted:6,act_public_1985_120_en_2013-07-01
act_public_1985_124,act_public,2020,1,1,repealed:1,act_public_1985_124_en_2020-08-01
act_public_1985_127,act_public,2023,51,51,added:1;amended:41;inserted:3;repealed:3;substituted:3,act_public_1985_127_en_2023-06-15
act_public_1985_135,act_public,2007,6,6,repealed:6,act_public_1985_135_en_2007-09-03
act_public_1985_136,act_public,2018,2,2,repealed:2,act_public_1985_136_en_2018-01-01
act_public_1985_137,act_public,2018,1,1,repealed:1,act_public_1985_137_en_2018-01-01
act_public_1985_141,act_public,2026,1841,1841,__missing__:6;added:63;amended:790;inserted:545;repealed:160;replaced:118;substituted:159,act_public_1985_141_en_2026-05-07
act_public_1985_151,act_public,2020,44,44,added:3;amended:13;inserted:2;repealed:20;substituted:6,act_public_1985_151_en_2020-08-07
act_public_1985_160,act_public,2007,2,2,repealed:2,act_public_1985_160_en_2007-09-03
act_public_1985_162,act_public,2009,3,3,repealed:3,act_public_1985_162_en_2009-06-29
act_public_1985_48,act_public,2013,4,4,repealed:4,act_public_1985_48_en_2013-12-16
act_public_1985_60,act_public,2007,23,23,amended:5;repealed:18,act_public_1985_60_en_2007-09-03
act_public_1985_62,act_public,2007,7,7,amended:2;repealed:5,act_public_1985_62_en_2007-09-03
act_public_1985_63,act_public,2007,4,4,amended:1;repealed:3,act_public_1985_63_en_2007-09-03
act_public_1985_77,act_public,2002,2,2,amended:2,act_public_1985_77_en_2002-03-01
act_public_1986_107,act_public,2017,1,1,repealed:1,act_public_1986_107_en_2017-03-07
act_public_1986_109,act_public,2014,2,2,repealed:2,act_public_1986_109_en_2014-12-01
act_public_1986_114,act_public,2025,13,13,added:1;amended:1;inserted:6;repealed:2;substituted:3,act_public_1986_114_en_2025-11-13
act_public_1986_120,act_public,2025,1054,1054,amended:312;brought into force:1;editorial change:2;inserted:502;repealed:83;replaced:154,act_public_1986_120_en_2025-12-01B
act_public_1986_121,act_public,2026,404,404,added:9;amended:129;brought into force:2;inserted:203;repealed:24;replaced:18;substituted:19,act_public_1986_121_en_2026-03-16
act_public_1986_122,act_public,2017,4,4,repealed:4,act_public_1986_122_en_2017-06-03
act_public_1986_124,act_public,2023,255,255,__missing__:2;added:5;amended:63;brought into force:10;editorial change:1;inserted:42;repealed:111;replaced:7;substituted:14,act_public_1986_124_en_2023-12-23
act_public_1986_127,act_public,2025,87,87,added:2;amended:23;editorial change:2;inserted:20;repealed:29;replaced:2;substituted:9,act_public_1986_127_en_2025-11-27
act_public_1986_129,act_public,2012,21,21,amended:8;brought into force:1;inserted:1;repealed:6;substituted:5,act_public_1986_129_en_2012-08-31
act_public_1986_134,act_public,2017,10,10,amended:1;repealed:9,act_public_1986_134_en_2017-06-03
act_public_1986_18,act_public,2017,9,9,repealed:9,act_public_1986_18_en_2017-07-01
act_public_1986_25,act_public,2017,13,13,amended:1;repealed:12,act_public_1986_25_en_2017-06-03
act_public_1986_26,act_public,1994,3,3,amended:2;substituted:1,act_public_1986_26_en_1994-11-29
act_public_1986_33,act_public,2005,4,4,repealed:4,act_public_1986_33_en_2005-05-20
act_public_1986_39,act_public,2018,24,24,repealed:24,act_public_1986_39_en_2018-11-26
act_public_1986_48,act_public,2017,5,5,repealed:5,act_public_1986_48_en_2017-06-03
act_public_1986_5,act_public,2025,1106,1106,added:21;amended:264;brought into force:1;editorial change:2;inserted:483;repealed:194;replaced:79;substituted:62,act_public_1986_5_en_2025-11-27
act_public_1986_6,act_public,2011,161,161,__unclassified__:1;added:1;amended:40;inserted:42;repealed:52;substituted:25,act_public_1986_6_en_2011-05-01
act_public_1986_9,act_public,2017,1,1,repealed:1,act_public_1986_9_en_2017-06-03
act_public_1987_106,act_public,2018,36,36,__missing__:1;amended:1;repealed:34,act_public_1987_106_en_2018-11-26
act_public_1987_114,act_public,1998,6,6,amended:1;repealed:4;substituted:1,act_public_1987_114_en_1998-05-22
act_public_1987_115,act_public,2017,1,1,repealed:1,act_public_1987_115_en_2017-06-03
act_public_1987_116,act_public,2012,135,135,added:1;amended:32;inserted:24;repealed:74;substituted:4,act_public_1987_116_en_2012-10-01
act_public_1987_126,act_public,2012,1,1,repealed:1,act_public_1987_126_en_2012-08-31
act_public_1987_129,act_public,2025,485,485,__missing__:1;__unclassified__:3;added:5;amended:171;inserted:143;repealed:75;replaced:57;substituted:30,act_public_1987_129_en_2025-07-01
act_public_1987_15,act_public,2025,151,151,added:2;amended:48;inserted:66;repealed:12;replaced:13;substituted:10,act_public_1987_15_en_2025-03-30
act_public_1987_165,act_public,2007,1,1,repealed:1,act_public_1987_165_en_2007-09-03
act_public_1987_174,act_public,2026,180,180,added:5;amended:74;editorial change:1;inserted:56;repealed:17;replaced:16;substituted:11,act_public_1987_174_en_2026-01-15
act_public_1987_176,act_public,2016,50,50,added:2;amended:15;inserted:2;repealed:25;replaced:1;substituted:5,act_public_1987_176_en_2016-04-30
act_public_1987_178,act_public,2017,24,24,added:1;amended:12;inserted:2;repealed:3;substituted:6,act_public_1987_178_en_2017-01-01
act_public_1987_179,act_public,2021,31,31,amended:23;inserted:2;repealed:2;replaced:2;substituted:2,act_public_1987_179_en_2021-10-28
act_public_1987_181,act_public,2017,1,1,repealed:1,act_public_1987_181_en_2017-06-03
act_public_1987_182,act_public,2012,2,2,repealed:2,act_public_1987_182_en_2012-04-06
act_public_1987_183,act_public,2021,18,18,amended:1;inserted:2;repealed:15,act_public_1987_183_en_2021-10-28
act_public_1987_188,act_public,2017,2,2,amended:1;repealed:1,act_public_1987_188_en_2017-09-01
act_public_1987_195,act_public,2025,24,24,amended:7;inserted:8;repealed:2;substituted:7,act_public_1987_195_en_2025-04-05
act_public_1987_200,act_public,2017,29,29,amended:10;repealed:18;substituted:1,act_public_1987_200_en_2017-06-03
act_public_1987_5,act_public,2023,56,56,amended:28;brought into force:1;inserted:8;repealed:9;replaced:1;substituted:9,act_public_1987_5_en_2023-01-24
act_public_1987_6,act_public,2017,1,1,repealed:1,act_public_1987_6_en_2017-06-03
act_public_1987_65,act_public,2025,848,848,added:47;amended:261;brought into force:4;editorial change:4;inserted:392;repealed:43;replaced:33;substituted:64,act_public_1987_65_en_2025-11-27B
act_public_1987_74,act_public,2010,807,807,__missing__:1;__unclassified__:8;added:4;amended:305;inserted:304;repealed:32;substituted:153,act_public_1987_74_en_2010-11-29
act_public_1987_86,act_public,2013,14,14,__unclassified__:1;amended:7;repealed:6,act_public_1987_86_en_2013-07-01
act_public_1987_88,act_public,2014,18,18,added:3;amended:8;inserted:1;repealed:1;replaced:1;substituted:4,act_public_1987_88_en_2014-11-12
act_public_1987_93,act_public,2021,184,184,added:6;amended:89;inserted:52;repealed:9;replaced:19;substituted:9,act_public_1987_93_en_2021-10-28
act_public_1988_105,act_public,1992,7,7,repealed:7,act_public_1988_105_en_1992-02-01
act_public_1988_107,act_public,2018,11,11,amended:4;repealed:7,act_public_1988_107_en_2018-11-12
