grupi_id,base_id,oracle_id,n_amendments,schema,base_effective,oracle_effective,pair_index,redaction_count,title
1000833,121062024047,104072024019,124,tyviseadus,2024-07-01,2024-07-14,3,5,Majandustegevuse seadustiku üldosa seadus
1000833,104072024019,102012025026,124,tyviseadus,2024-07-14,2025-09-01,4,5,Majandustegevuse seadustiku üldosa seadus
1001874,131012012007,104032015028,116,tyviseadus,2012-02-01,2015-04-01,1,4,Strateegilise kauba seadus
1001874,104032015028,112022020007,116,tyviseadus,2015-04-01,2020-03-01,2,4,Strateegilise kauba seadus
1001874,112022020007,107052025008,116,tyviseadus,2020-03-01,2025-10-01,3,4,Strateegilise kauba seadus
1003613,129062014129,124032016005,68,tyviseadus,2014-07-01,2016-05-01,1,5,Korruptsioonivastane seadus
1003613,124032016005,105022019010,68,tyviseadus,2016-05-01,2019-02-15,2,5,Korruptsioonivastane seadus
1003613,105022019010,113042021004,68,tyviseadus,2019-02-15,2021-04-23,3,5,Korruptsioonivastane seadus
1003613,113042021004,114032025012,68,tyviseadus,2021-04-23,2025-01-01,4,5,Korruptsioonivastane seadus
1003782,126032013004,126032013005,160,tyviseadus,2013-03-27,2013-04-01,1,15,Avaliku teenistuse seadus
1003782,126032013005,106102016002,160,tyviseadus,2013-04-01,2016-10-16,2,15,Avaliku teenistuse seadus
1003782,106102016002,106102016003,160,tyviseadus,2016-10-16,2017-01-01,3,15,Avaliku teenistuse seadus
1003782,106102016003,112112021014,160,tyviseadus,2017-01-01,2021-11-22,4,15,Avaliku teenistuse seadus
1003782,112112021014,112112021015,160,tyviseadus,2021-11-22,2022-01-01,5,15,Avaliku teenistuse seadus
1003782,112112021015,122122021037,160,tyviseadus,2022-01-01,2022-04-01,6,15,Avaliku teenistuse seadus
1003782,122122021037,104062022007,160,tyviseadus,2022-04-01,2022-06-14,7,15,Avaliku teenistuse seadus
1003782,104062022007,104062022008,160,tyviseadus,2022-06-14,2022-08-01,8,15,Avaliku teenistuse seadus
1003782,104062022008,102052024021,160,tyviseadus,2022-08-01,2024-05-15,9,15,Avaliku teenistuse seadus
1003782,102052024021,127092024003,160,tyviseadus,2024-05-15,2025-01-01,10,15,Avaliku teenistuse seadus
1003782,127092024003,105072025004,160,tyviseadus,2025-01-01,2025-07-06,11,15,Avaliku teenistuse seadus
1003782,105072025004,103022026006,160,tyviseadus,2025-07-06,2026-02-04,12,15,Avaliku teenistuse seadus
1003782,103022026006,103022026007,160,tyviseadus,2026-02-04,2026-02-13,13,15,Avaliku teenistuse seadus
1003782,103022026007,110022026002,160,tyviseadus,2026-02-13,2026-07-01,14,15,Avaliku teenistuse seadus
1003783,123042014005,122122014005,138,tyviseadus,2014-10-01,2015-01-01,1,4,Kaitseväeteenistuse seaduse rakendamise seadus
1003783,122122014005,120022024006,138,tyviseadus,2015-01-01,2024-03-01,2,4,Kaitseväeteenistuse seaduse rakendamise seadus
1003783,120022024006,103022026012,138,tyviseadus,2024-03-01,2026-02-04,3,4,Kaitseväeteenistuse seaduse rakendamise seadus
1003784,122122014003,117122015100,340,tyviseadus,2015-01-01,2016-01-01,1,15,Kaitseväeteenistuse seadus
1003784,117122015100,109032016004,340,tyviseadus,2016-01-01,2016-03-19,2,15,Kaitseväeteenistuse seadus
1003784,109032016004,116062016011,340,tyviseadus,2016-03-19,2016-07-01,3,15,Kaitseväeteenistuse seadus
1003784,116062016011,101032017003,340,tyviseadus,2016-07-01,2017-04-01,4,15,Kaitseväeteenistuse seadus
1003784,101032017003,106072018009,340,tyviseadus,2017-04-01,2018-07-16,5,15,Kaitseväeteenistuse seadus
1003784,106072018009,106072018010,340,tyviseadus,2018-07-16,2019-01-01,6,15,Kaitseväeteenistuse seadus
1003784,106072018010,108072021003,340,tyviseadus,2019-01-01,2021-07-15,7,15,Kaitseväeteenistuse seadus
1003784,108072021003,108072021004,340,tyviseadus,2021-07-15,2022-01-01,8,15,Kaitseväeteenistuse seadus
1003784,108072021004,108072021005,340,tyviseadus,2022-01-01,2022-04-01,9,15,Kaitseväeteenistuse seadus
1003784,108072021005,120022024003,340,tyviseadus,2022-04-01,2024-03-01,10,15,Kaitseväeteenistuse seadus
1003784,120022024003,120022024004,340,tyviseadus,2024-03-01,2024-05-01,11,15,Kaitseväeteenistuse seadus
1003784,120022024004,120022024005,340,tyviseadus,2024-05-01,2024-07-01,12,15,Kaitseväeteenistuse seadus
1003784,120022024005,127092024006,340,tyviseadus,2024-07-01,2025-01-01,13,15,Kaitseväeteenistuse seadus
1003784,127092024006,103022026017,340,tyviseadus,2025-01-01,2026-02-04,14,15,Kaitseväeteenistuse seadus
100988,118032011004,108032012002,454,tyviseadus,2011-07-01,2012-04-01,1,4,Alkoholiseadus
100988,108032012002,120022015005,454,tyviseadus,2012-04-01,2015-07-01,2,4,Alkoholiseadus
100988,120022015005,109012018006,454,tyviseadus,2015-07-01,2018-01-19,3,4,Alkoholiseadus
