1,1964/387
1,1972/572
1,1974/970
1,1987/1190
1,1989/573
1,1990/201
1,1991/476
1,1993/1289
1,1993/1507
1,1993/91
1,1996/1028
1,1996/503
1,1997/979
1,1998/461
1,1999/1209
1,1999/701
1,2000/724
1,2001/1234
1,2002/1224
1,2002/780
1,2003/1062
1,2003/416
1,2004/27
1,2005/452
1,2006/576
1,2007/1477
1,2007/689
1,2007/818
1,2009/1069
1,2010/1076
1,2010/1077
1,2010/1149
1,2010/1376
1,2011/1054
1,2011/1567
1,2011/1577
1,2011/975
1,2012/829
1,2012/846
1,2012/871
1,2012/993
1,2013/224
1,2014/1010
1,2014/1423
1,2015/1124
1,2015/1331
1,2015/1428
1,2015/1446
1,2015/1590
1,2015/1621
1,2015/1744
1,2015/1745
1,2015/238
1,2015/337
1,2015/38
1,2015/589
1,2015/65
1,2015/88
1,2016/1089
1,2016/1139
1,2016/1203
1,2016/1425
1,2016/1434
1,2016/1435
1,2016/429
1,2016/477
1,2016/592
1,2016/676
1,2016/77
1,2016/80
1,2017/1008
1,2017/17
1,2017/284
1,2017/585
1,2017/693
1,2017/796
1,2017/843
1,2017/933
1,2017/991
1,2018/2
1,2018/502
1,2019/1454
1,2019/1465
1,2019/1567
1,2019/16
1,2019/56
1,2019/808
1,2020/1002
1,2020/1018
1,2020/1078
1,2020/1171
1,2020/125
1,2020/1262
1,2020/13
1,2020/42
1,2020/839
1,2020/87
1,2020/969
1,2021/103
1,2021/186
1,2021/187
1,2021/217
1,2021/319
1,2021/324
1,2021/332
1,2021/614
1,2021/66
1,2021/682
1,2021/757
1,2021/887
1,2021/951
1,2022/1169
1,2022/1237
1,2022/1332
1,2022/1394
1,2022/375
1,2022/467
1,2022/825
1,2023/102
1,2023/1066
1,2023/1188
1,2023/1205
1,2023/127
1,2023/1308
1,2023/160
1,2023/166
1,2023/275
1,2023/314
1,2023/383
1,2023/608
1,2023/656
1,2023/739
1,2023/79
1,2024/191
1,2024/212
1,2024/224
1,2024/311
1,2024/482
1,2024/880
1,2024/91
1,2025/184
1,2025/242
1,2025/58
1,2025/7
2,1971/219
2,1992/678
2,1993/529
2,2000/250
2,2000/252
2,2001/632
2,2002/232
2,2004/1378
2,2004/502
2,2006/1447
2,2007/544
2,2011/1413
2,2011/1526
2,2012/295
2,2012/820
2,2012/992
2,2013/781
2,2014/21
2,2014/282
2,2014/343
2,2014/362
2,2014/416
2,2014/520
2,2014/684
2,2014/978
2,2015/1340
2,2015/1480
2,2015/502
2,2015/56
2,2015/598
2,2015/669
2,2015/763
2,2016/1008
2,2016/1355
2,2016/1492
2,2016/593
2,2016/907
2,2017/170
2,2017/574
2,2017/646
2,2017/869
2,2017/93
2,2017/946
2,2018/1158
2,2018/460
2,2019/1277
2,2019/1342
2,2020/1175
2,2020/391
2,2020/393
2,2020/811
2,2021/177
2,2021/258
2,2021/318
2,2021/487
2,2021/664
2,2021/740
2,2021/946
2,2022/119
2,2022/1333
2,2022/1334
2,2022/1381
2,2022/15
2,2022/290
2,2022/711
2,2022/835
2,2023/1221
2,2023/1270
2,2023/128
2,2023/63
2,2023/653
2,2024/18
2,2024/50
2,2025/310
2,2025/531
2,2025/89
3,1979/345
3,1987/1292
3,1988/718
3,1992/594
3,1995/557
3,1999/1352
3,2000/1037
3,2001/1137
3,2002/973
3,2003/991
3,2005/563
3,2006/1406
3,2007/169
3,2008/1030
3,2008/166
3,2008/601
3,2008/868
3,2009/21
3,2010/1379
3,2010/252
3,2010/756
3,2011/1169
3,2012/1020
3,2013/151
3,2013/30
3,2013/309
3,2013/452
3,2013/612
3,2014/1326
3,2014/445
3,2015/351
3,2015/364
3,2015/684
3,2015/712
3,2016/258
3,2016/276
3,2016/591
3,2017/1147
3,2017/430
3,2017/530
3,2018/1146
3,2018/508
3,2019/357
3,2019/502
3,2019/782
3,2020/367
3,2020/369
3,2020/370
3,2021/702
3,2022/1262
3,2022/79
3,2022/80
3,2022/81
3,2023/1273
3,2023/163
3,2023/675
3,2023/80
3,2023/82
4,1956/463
4,1984/413
4,1994/1057
4,1994/1222
4,1994/1546
4,1994/658
4,1998/634
4,2000/1288
4,2000/971
4,2001/300
4,2002/1200
4,2002/563
4,2005/127
4,2005/378
4,2005/655
4,2005/781
4,2006/180
4,2007/1322
4,2007/1433
4,2007/444
4,2007/508
4,2007/653
4,2008/1096
4,2008/614
4,2008/676
4,2008/776
4,2008/846
4,2010/1257
4,2010/372
4,2011/210
4,2012/466
4,2013/1106
4,2013/1226
4,2014/716
4,2014/8
4,2015/147
4,2015/327
4,2015/430
4,2015/523
4,2015/549
4,2016/1134
4,2016/234
4,2016/548
4,2017/276
4,2018/1328
4,2019/1010
4,2019/246
4,2019/304
4,2020/1244
4,2020/669
4,2021/153
4,2021/328
4,2023/564
4,2025/124
5,1974/839
5,1982/1112
5,1987/437
5,1988/726
5,1990/1105
5,1994/1079
5,1996/195
5,2001/1388
5,2002/1023
5,2002/885
5,2006/1209
5,2007/8
5,2009/1279
5,2009/299
5,2009/362
5,2009/593
5,2010/1062
5,2010/1171
5,2010/1316
5,2010/373
5,2010/633
5,2011/715
5,2012/540
5,2013/387
5,2013/441
5,2013/492
5,2014/1245
5,2014/1369
5,2015/1360
5,2015/1709
5,2015/254
5,2015/584
5,2015/594
5,2015/714
5,2016/1285
5,2016/663
5,2017/801
5,2017/921
5,2017/971
5,2021/5
6,1977/982
6,1993/1689
6,1994/207
6,1997/199
6,1998/812
6,1998/898
6,1999/165
6,1999/517
6,2000/1195
6,2002/197
6,2002/241
6,2003/13
6,2004/588
6,2006/1407
6,2006/1443
6,2007/335
6,2008/290
6,2008/805
6,2009/1166
6,2009/26
6,2009/435
6,2009/695
6,2010/34
6,2010/76
6,2011/1218
6,2012/316
6,2013/193
6,2014/7
6,2016/571
6,2018/234
6,2019/657
6,2019/906
6,2021/1301
6,2021/616
6,2023/681
7,1976/562
7,1978/743
7,1980/552
7,1982/639
7,1988/451
7,1991/1331
7,1992/1634
7,1997/660
7,2000/344
7,2002/1336
7,2004/1287
7,2004/400
7,2004/758
7,2005/347
7,2005/937
7,2006/766
7,2007/1463
7,2008/1005
7,2009/273
7,2009/276
7,2009/687
7,2009/770
7,2010/599
7,2011/158
7,2012/484
7,2013/1104
7,2013/1295
7,2013/50
7,2014/1197
7,2014/1429
7,2014/1451
7,2014/28
7,2015/235
7,2015/236
7,2015/59
7,2015/7
7,2016/1048
7,2016/1531
7,2016/304
7,2018/1050
7,2019/332
7,2021/1333
7,2021/82
8,1967/659
8,1973/948
8,1988/1348
8,1993/58
8,1999/609
8,2000/45
8,2002/1306
8,2003/306
8,2003/605
8,2008/1121
8,2011/1503
8,2011/922
8,2012/748
8,2015/1141
8,2015/34
8,2015/4
8,2016/1050
8,2016/1144
8,2016/1398
8,2017/176
8,2017/445
8,2018/859
9,1974/968
9,1991/1707
9,1991/626
9,1995/355
9,2000/381
9,2002/274
9,2002/453
9,2002/504
9,2003/343
9,2004/1037
9,2008/86
9,2009/573
9,2010/352
9,2013/1087
9,2013/958
9,2015/623
9,2016/673
9,2020/566
9,2020/615
9,2022/739
10,1972/484
10,1987/320
10,1988/460
10,1992/1578
10,1993/1380
10,1996/204
10,1998/535
10,2005/1142
10,2006/1297
10,2009/1186
10,2015/1085
10,2015/400
10,2021/608
11,1926/101
11,1986/505
11,1991/118
11,1994/1415
11,1994/831
11,1995/1552
11,1997/210
11,1998/666
11,2001/101
11,2001/666
11,2003/612
11,2003/702
11,2006/1291
11,2006/211
11,2006/693
11,2007/527
11,2007/556
11,2009/617
11,2009/738
11,2013/393
11,2015/517
12,1966/258
12,1970/283
12,1978/1061
12,1982/51
12,1990/848
12,1993/512
12,1993/998
12,1996/396
12,1998/214
12,1999/530
12,2000/205
12,2002/1245
12,2003/940
12,2004/794
12,2009/1698
12,2011/415
13,1970/248
13,1970/669
13,1977/54
13,1988/1184
13,1996/463
13,1999/513
13,2002/878
13,2003/1086
13,2004/421
13,2006/396
13,2007/159
13,2017/884
13,2021/612
13,2023/380
14,1938/23
14,1993/616
14,1994/1205
14,1994/201
14,1999/488
14,2004/1335
14,2005/677
14,2015/1267
14,2016/1397
15,1996/248
15,2003/543
15,2010/290
15,2012/980
15,2013/870
16,1962/420
16,1977/608
16,1986/609
16,1994/543
16,1998/443
16,2000/256
16,2007/1446
16,2009/1686
16,2010/128
16,2011/746
16,2016/549
17,1969/10
17,1974/402
17,1994/564
17,1995/540
18,1982/672
18,1990/1295
18,2000/1108
18,2002/1330
18,2008/503
18,2010/503
18,2021/618
19,1966/657
19,1998/852
