amendments,statute_id,bucket,reason,detail,last_status
3,2007/1302,suspect,oracle_suspect,2017/232 eff 2017-04-29 > cutoff 2017-04-19,
3,2007/1490,suspect,oracle_suspect,2016/747 eff 2016-09-01 > cutoff 2016-08-25,
3,2007/169,core,,,OK
3,2007/231,suspect,oracle_suspect,2025/486 eff 2026-01-01 > cutoff 2025-06-27,
3,2007/569,suspect,oracle_suspect,2016/1266 eff 2017-01-01 > cutoff 2016-12-21,
3,2007/829,suspect,oracle_suspect,2010/455 eff 2010-06-02 > cutoff 2010-05-27,
3,2008/1030,core,,,OK
3,2008/1114,suspect,oracle_suspect,2015/1106 eff 2015-09-01 > cutoff 2015-08-27,
3,2008/166,core,,,OK
3,2008/205,suspect,oracle_suspect,2011/1066 eff 2011-10-24 > cutoff 2011-10-06,
3,2008/222,suspect,oracle_suspect,2020/898 eff 2020-12-19 > cutoff 2020-11-27,
3,2008/297,suspect,oracle_suspect,2014/785 eff 2014-10-08 > cutoff 2014-10-02,
3,2008/333,suspect,oracle_suspect,2010/978 eff 2010-11-24 > cutoff 2010-11-18,
3,2008/361,suspect,oracle_suspect,2024/59 eff 2024-08-01 > cutoff 2024-01-25,
3,2008/485,suspect,oracle_suspect,2016/1460 eff 2017-01-01 > cutoff 2016-12-22,
3,2008/601,core,,,OK
3,2008/717,suspect,oracle_suspect,2016/1330 eff 2017-01-01 > cutoff 2016-12-21,
3,2008/823,suspect,oracle_suspect,2013/390 eff 2013-06-11 > cutoff 2013-06-06,
3,2008/868,core,,,OK
3,2008/979,suspect,oracle_suspect,2020/554 eff 2020-07-13 > cutoff 2020-07-09,
3,2009/1197,suspect,oracle_suspect,2022/264 eff 2022-04-11 > cutoff 2022-04-01,
3,2009/201,suspect,oracle_suspect,2019/1466 eff 2020-01-01 > cutoff 2019-12-19,
3,2009/21,core,,,OK
3,2009/228,suspect,oracle_suspect,2013/959 eff 2014-07-01 > cutoff 2013-12-13,
3,2009/229,suspect,oracle_suspect,2017/650 eff 2017-10-01 > cutoff 2017-09-21,
3,2009/410,suspect,oracle_suspect,2025/778 eff 2026-01-01 > cutoff 2025-06-27,
3,2009/552,suspect,oracle_suspect,2011/165 eff 2011-03-01 > cutoff 2011-02-18,
3,2009/825,suspect,oracle_suspect,2015/1369 eff 2016-01-01 > cutoff 2015-11-26,
3,2009/953,suspect,oracle_suspect,2019/274 eff 2020-01-01 > cutoff 2019-02-22,
3,2010/1024,suspect,oracle_suspect,2019/1380 eff 2020-01-01 > cutoff 2019-12-19,
3,2010/1053,suspect,oracle_suspect,2016/1085 eff 2016-12-15 > cutoff 2016-12-09,
3,2010/1206,suspect,oracle_suspect,2018/1070 eff 2019-01-01 > cutoff 2018-12-05,
3,2010/1222,suspect,oracle_suspect,2014/1165 eff 2015-01-01 > cutoff 2014-12-18,
3,2010/1266,suspect,oracle_suspect,2015/836 eff 2015-08-01 > cutoff 2015-07-01,
3,2010/133,suspect,oracle_suspect,2022/595 eff 2023-01-01 > cutoff 2022-07-08,
3,2010/1379,core,,,OK
3,2010/247,suspect,oracle_suspect,2013/1315 eff 2014-01-01 > cutoff 2013-12-30,
3,2010/252,core,,,OK
3,2010/592,suspect,oracle_suspect,2024/300 eff 2024-06-12 > cutoff 2024-06-06,
3,2010/729,suspect,oracle_suspect,2015/749 eff 2016-01-01 > cutoff 2015-06-12,
3,2010/756,core,,,OK
3,2010/83,suspect,oracle_suspect,2021/363 eff 2022-01-01 > cutoff 2021-04-29,
