3,2006/79
3,2014/1327
4,2003/278
4,2007/188
4,2013/713
5,2010/298
5,2011/339
6,2007/449
6,2013/960
6,2014/1093
7,2007/223
7,2007/381
7,2014/1444
8,1995/974
8,1998/762
8,2003/375
8,2005/570
8,2010/1126
8,2012/422
9,1993/55
9,2007/174
11,2003/1197
11,2006/308
11,2007/1307
11,2007/334
15,2007/1277
16,1987/380
16,1995/1551
18,2007/370
19,1985/1059
20,1990/152
20,2003/304
20,2006/603
21,2003/1286
21,2007/1024
21,2008/669
21,2010/297
22,1970/664
25,2007/570
34,2001/189
37,1999/621
46,1995/1774
50,1992/1164
