statute_id,act_type,year,n_effects,n_enacted_eids,n_oracle_eids,n_common,score,status,error
asp/2006/17,asp,2006,3,418,430,416,0.9674,OK,
asp/2006/2,asp,2006,2,381,378,353,0.9265,OK,
asp/2006/3,asp,2006,1,117,0,0,0.0000,OK,
asp/2006/4,asp,2006,5,815,1324,670,0.5060,OK,
asp/2006/5,asp,2006,2,84,77,75,0.8929,OK,
asp/2006/6,asp,2006,1,658,738,658,0.8916,OK,
asp/2006/7,asp,2006,1,684,767,684,0.8918,OK,
asp/2006/8,asp,2006,1,252,268,252,0.9403,OK,
asp/2006/9,asp,2006,1,47,0,0,0.0000,OK,
asp/2007/1,asp,2007,1,452,514,452,0.8794,OK,
asp/2007/10,asp,2007,3,695,737,671,0.9104,OK,
asp/2007/11,asp,2007,1,22,19,16,0.7273,OK,
asp/2007/12,asp,2007,2,351,450,350,0.7778,OK,
asp/2007/13,asp,2007,1,33,46,33,0.7174,OK,
asp/2007/14,asp,2007,15,1146,1398,957,0.6845,OK,
asp/2007/15,asp,2007,1,34,36,34,0.9444,OK,
asp/2007/16,asp,2007,1,596,676,596,0.8817,OK,
asp/2007/17,asp,2007,3,745,95,78,0.1047,OK,
asp/2007/18,asp,2007,1,10,0,0,0.0000,OK,
asp/2007/19,asp,2007,1,526,607,526,0.8666,OK,
asp/2007/2,asp,2007,1,4,4,4,1.0000,OK,
asp/2007/3,asp,2007,12,2928,1726,1555,0.5311,OK,
asp/2007/4,asp,2007,7,1469,1588,1436,0.9043,OK,
asp/2007/5,asp,2007,10,1142,1341,1115,0.8315,OK,
asp/2007/6,asp,2007,7,887,841,784,0.8839,OK,
asp/2007/7,asp,2007,2,441,449,441,0.9822,OK,
asp/2007/8,asp,2007,3,536,623,531,0.8523,OK,
asp/2007/9,asp,2007,3,84,79,75,0.8929,OK,
asp/2008/1,asp,2008,1,29,32,29,0.9062,OK,
asp/2008/2,asp,2008,2,83,83,74,0.8916,OK,
asp/2008/3,asp,2008,1,31,38,31,0.8158,OK,
asp/2008/4,asp,2008,2,368,385,368,0.9558,OK,
asp/2008/5,asp,2008,4,1935,2150,1935,0.9000,OK,
asp/2008/6,asp,2008,5,1059,1176,952,0.8095,OK,
asp/2008/7,asp,2008,1,200,191,181,0.9050,OK,
asp/2009/1,asp,2009,1,828,1031,823,0.7983,OK,
asp/2009/10,asp,2009,1,23,27,23,0.8519,OK,
asp/2009/11,asp,2009,1,9,0,0,0.0000,OK,
asp/2009/12,asp,2009,6,1332,1461,866,0.5927,OK,
asp/2009/2,asp,2009,2,83,74,74,0.8916,OK,
asp/2009/3,asp,2009,1,184,197,184,0.9340,OK,
asp/2009/4,asp,2009,1,34,29,29,0.8529,OK,
asp/2009/5,asp,2009,1,101,50,42,0.4158,OK,
asp/2009/6,asp,2009,4,1281,1353,1214,0.8973,OK,
asp/2009/7,asp,2009,1,114,115,114,0.9913,OK,
asp/2009/8,asp,2009,1,51,0,0,0.0000,OK,
asp/2009/9,asp,2009,4,804,945,804,0.8508,OK,
asp/2010/1,asp,2010,4,919,1040,919,0.8837,OK,
asp/2010/10,asp,2010,4,514,612,514,0.8399,OK,
asp/2010/11,asp,2010,3,572,585,484,0.8274,OK,
asp/2010/12,asp,2010,1,17,20,17,0.8500,OK,
asp/2010/13,asp,2010,11,2678,2772,2498,0.9012,OK,
